"gene_symbol","t"
"SMOC2",29.7953347860436
"FNDC1",26.8398600231826
"FHAD1-AS1",26.4388612910525
"FREM1",24.9281063189087
"FRZB",24.8890612887214
"TRIL",22.6005641845411
"SFRP4",22.5346539660473
"MATN2",22.4017602949792
"C1QTNF7",22.020875037038
"ITIH5",21.9471157127543
"MFAP4",21.733902350127
"SEZ6L",21.7072121028533
"LUM",21.4826470144474
"EXT1",21.4779669648202
"CCDC144NL-AS1",21.2553226318132
"SCUBE2",20.8183380912356
"TLL2",20.733182983696
"CYS1",20.5469123568779
"LINC03063",20.3529471532774
"LEFTY2",20.2004241494126
"OLFML1",20.0729904028112
"ASPN",20.0604806179064
"SSC5D",19.8972992062517
"DNAAF3",19.8777989888072
"FHAD1",19.7374868552223
"PRMT2",19.7290616912714
"ARMS2",19.5468136449442
"MXRA5",19.4919473580359
"SLC16A9",19.3259933646223
"ACE",19.3099571109291
"C1QTNF2",19.3015281240662
"PHLDA1",19.2897053753249
"APCDD1L",18.8937042419424
"LOC105378433",18.8767230510272
"COL22A1",18.8027198076426
"PTN",18.7966448667841
"DMC1",18.7157787896261
"NRK",18.7096335258097
"ATP1B2",18.5017865777511
"AQP10",18.4984349052445
"PENK",18.4352189309034
"AZIN2",18.4188346231771
"NTM",18.3643008570256
"RTL3",18.2505488640847
"GLT8D2",18.0196135026635
"SCN2B",18.0145718679308
"HTRA1",17.9076835546471
"USP51",17.823683904128
"HAAO",17.7828409599095
"LOC105371629",17.7088762610773
"DNAAF3-AS1",17.6072862215961
"CRACD",17.5386841012119
"KCNN3",17.5298825639207
"FCER1A",17.3122855535898
"GZMH",17.2856662904602
"BACH2",17.1041154377158
"KCNC4",17.0390937587219
"LRRC17",16.9808829124867
"UBA7",16.9531939931039
"LSP1",16.9349642417514
"CYP11A1",16.9224139588471
"ARHGAP1",16.885490615831
"PPP2R2B",16.846427169802
"PROM1",16.8289125619819
"OGN",16.7846515187457
"SMANTIS",16.7742410016204
"CRISPLD1",16.6381776102593
"CCL5",16.6204830254065
"LOC107985020",16.6140798061234
"RASL11B",16.5628035436906
"AK5",16.5307089454396
"COL14A1",16.4342807584388
"CRYM",16.3721790485632
"MGC16275",16.3702755019281
"DPYSL3",16.3559630489757
"NT5E",16.3547717135887
"ODAD2",16.3413737761433
"FGF14",16.2798578121241
"KIAA1755",16.2507554078978
"PRRT2",16.2217071756336
"CRHBP",16.1569879993238
"C11orf80",16.145016938274
"MED12L",16.1231569141621
"ABCG2",16.1056418708655
"DIO2",16.0931293332888
"COL9A1",16.0912530175584
"ANKRD34C",15.9595127655211
"STAMBPL1",15.9275471024559
"ITGAL",15.8393106477647
"TSPAN9",15.8118445114511
"HBB",15.7392925111635
"SYT17",15.7317560124676
"CTSK",15.715236365863
"LINC00670",15.6982978587011
"LOC102724805",15.6656515335121
"NRIP2",15.6478647680116
"TIMP2",15.6219863294219
"PIK3R6",15.6208869330707
"APLNR",15.5885254983442
"IFI44L",15.5846084662493
"SLC16A2",15.5199736233584
"COL15A1",15.4988214561786
"CD83",15.4321810588375
"PLXDC1",15.4204235034153
"ISLR",15.4154364811434
"MSS51",15.4096393999943
"RAB37",15.4060837109093
